customer_id,Recency,Frequency,Monetary,r_quartile,f_quartile,m_quartile,RFM_score,segment
1,8,11,9084.45,4,4,4,444,Champion
2,129,3,4149.07,1,1,1,111,At Risk
3,103,8,9888.23,1,4,4,144,Big Spender
4,196,2,1047.72,1,1,1,111,At Risk
5,17,6,5903.2,4,2,2,422,Potential Loyalist
6,65,5,5931.6900000000005,2,2,2,222,Regular
7,254,3,995.38,1,1,1,111,At Risk
8,23,10,12024.759999999998,3,4,4,344,Loyal
9,79,6,5357.549999999999,2,2,2,222,Regular
10,44,5,5003.75,3,2,2,322,Potential Loyalist
11,47,6,6779.4400000000005,2,2,3,223,Regular
12,68,7,6394.21,2,3,3,233,Regular
13,28,7,7734.74,3,3,3,333,Loyal
14,48,3,2509.3900000000003,2,1,1,211,Regular
15,36,6,4923.34,3,2,2,322,Potential Loyalist
16,100,5,7763.79,1,2,3,123,At Risk
17,1,5,4676.1900000000005,4,2,2,422,Potential Loyalist
18,135,7,8878.62,1,3,4,134,Big Spender
19,103,3,4238.1900000000005,1,1,2,112,At Risk
20,32,4,6618.86,3,1,3,313,Regular
21,7,5,7446.21,4,2,3,423,Potential Loyalist
22,98,8,9546.35,1,4,4,144,Big Spender
23,11,6,6377.76,4,2,3,423,Potential Loyalist
24,18,7,6885.51,4,3,3,433,Loyal
25,6,12,9996.33,4,4,4,444,Champion
26,260,2,2245.85,1,1,1,111,At Risk
27,144,7,7679.97,1,3,3,133,At Risk
28,84,6,5492.900000000001,2,2,2,222,Regular
29,23,9,10855.57,3,4,4,344,Loyal
30,12,3,3736.5199999999995,4,1,1,411,Regular
31,90,4,3110.0,1,1,1,111,At Risk
32,139,7,7873.18,1,3,3,133,At Risk
33,39,7,9384.23,3,3,4,334,Loyal
34,103,8,12098.83,1,4,4,144,Big Spender
35,93,4,4182.28,1,1,2,112,At Risk
36,164,2,1781.04,1,1,1,111,At Risk
37,8,9,11291.71,4,4,4,444,Champion
38,51,4,4502.59,2,1,2,212,Regular
39,35,12,11237.19,3,4,4,344,Loyal
40,15,6,6175.2699999999995,4,2,3,423,Potential Loyalist
41,30,9,9114.15,3,4,4,344,Loyal
42,112,4,1936.46,1,1,1,111,At Risk
43,62,9,6574.59,2,4,3,243,Regular
44,36,7,7497.4,3,3,3,333,Loyal
45,44,3,2912.33,3,1,1,311,Regular
46,54,5,4923.139999999999,2,2,2,222,Regular
47,36,7,8022.01,3,3,3,333,Loyal
48,83,8,9654.119999999999,2,4,4,244,Big Spender
49,37,5,7582.92,3,2,3,323,Potential Loyalist
50,27,8,9252.66,3,4,4,344,Loyal
51,56,8,9667.460000000001,2,4,4,244,Big Spender
52,5,6,9779.71,4,2,4,424,Potential Loyalist
53,8,5,5472.74,4,2,2,422,Potential Loyalist
54,68,7,9813.66,2,3,4,234,Big Spender
55,47,8,6754.21,2,4,3,243,Regular
56,3,7,5060.86,4,3,2,432,Loyal
57,36,6,8748.75,3,2,4,324,Potential Loyalist
58,21,8,6967.3099999999995,3,4,3,343,Loyal
59,23,3,2797.47,3,1,1,311,Regular
60,201,2,1526.9,1,1,1,111,At Risk
61,48,6,7529.360000000001,2,2,3,223,Regular
62,6,6,5845.950000000001,4,2,2,422,Potential Loyalist
63,69,3,4156.66,2,1,2,212,Regular
64,4,5,4111.12,4,2,1,421,Potential Loyalist
65,137,6,8056.469999999999,1,2,3,123,At Risk
66,44,5,6489.33,3,2,3,323,Potential Loyalist
67,117,5,5304.15,1,2,2,122,At Risk
68,85,3,5127.98,2,1,2,212,Regular
69,21,6,8395.75,3,2,4,324,Potential Loyalist
70,5,5,4801.11,4,2,2,422,Potential Loyalist
71,132,1,1415.01,1,1,1,111,At Risk
72,23,4,4048.85,3,1,1,311,Regular
73,169,6,5265.87,1,2,2,122,At Risk
74,29,3,2985.64,3,1,1,311,Regular
75,61,8,7130.63,2,4,3,243,Regular
76,2,8,7425.04,4,4,3,443,Champion
77,102,3,2964.73,1,1,1,111,At Risk
78,212,2,1139.12,1,1,1,111,At Risk
79,44,6,6761.43,3,2,3,323,Potential Loyalist
80,29,10,12564.82,3,4,4,344,Loyal
81,5,4,4421.7,4,1,2,412,Regular
82,79,5,5293.91,2,2,2,222,Regular
83,81,6,4464.65,2,2,2,222,Regular
84,29,7,5464.650000000001,3,3,2,332,Loyal
85,38,6,3158.6299999999997,3,2,1,321,Potential Loyalist
86,1,9,7319.35,4,4,3,443,Champion
87,19,9,7994.73,3,4,3,343,Loyal
88,75,6,5550.83,2,2,2,222,Regular
89,5,9,12741.44,4,4,4,444,Champion
90,31,7,7703.58,3,3,3,333,Loyal
91,10,8,8066.4400000000005,4,4,3,443,Champion
92,35,3,5098.43,3,1,2,312,Regular
93,80,3,5276.129999999999,2,1,2,212,Regular
